City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Date - Time
0,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
64,beloha,0,MG,1528905340,57,-25.17,45.06,71.95,16.37,6/13/18 3:55 PM
65,anadyr,0,RU,1528902000,57,64.73,177.51,48.2,4.47,6/13/18 3:00 PM
66,luderitz,12,NA,1528905342,64,-26.65,15.16,64.03,17.38,6/13/18 3:55 PM
67,rochester,1,US,1528902960,37,44.02,-92.46,73.4,6.93,6/13/18 3:16 PM
68,bosaso,0,SO,1528905347,86,11.28,49.18,89.77,3.96,6/13/18 3:55 PM
69,faanui,0,PF,1528905347,100,-16.48,-151.75,79.96,11.79,6/13/18 3:55 PM
70,grindavik,75,IS,1528902000,70,63.84,-22.43,48.2,5.82,6/13/18 3:00 PM
71,margate,20,AU,1528902000,87,-43.03,147.26,44.6,8.05,6/13/18 3:00 PM
72,marsh harbour,88,BS,1528905349,95,26.54,-77.06,82.39,10,6/13/18 3:55 PM
73,comodoro rivadavia,40,AR,1528902000,60,-45.87,-67.48,42.8,9.17,6/13/18 3:00 PM
74,upernavik,92,GL,1528905350,100,72.79,-56.15,29.29,3.74,6/13/18 3:55 PM
75,uige,0,AO,1528905350,29,-7.61,15.06,86.8,3.18,6/13/18 3:55 PM
76,bredasdorp,0,ZA,1528902000,23,-34.53,20.04,82.4,5.82,6/13/18 3:00 PM
77,bodden town,40,KY,1528902000,78,19.28,-81.25,80.6,16.11,6/13/18 3:00 PM
78,guerrero negro,44,MX,1528905350,88,27.97,-114.04,63.85,3.74,6/13/18 3:55 PM
79,bilma,0,NE,1528905351,12,18.69,12.92,110.47,4.63,6/13/18 3:55 PM
80,carnarvon,0,ZA,1528905351,30,-30.97,22.13,60.43,14.25,6/13/18 3:55 PM
81,ponta do sol,12,BR,1528905352,72,-20.63,-46,78.25,3.96,6/13/18 3:55 PM
82,vila franca do campo,75,PT,1528903800,88,37.72,-25.43,71.6,12.75,6/13/18 3:30 PM
83,puerto del rosario,20,ES,1528903800,60,28.5,-13.86,73.4,17.22,6/13/18 3:30 PM
84,sitka,20,US,1528905353,92,37.17,-99.65,74.02,5.97,6/13/18 3:55 PM
85,camacha,75,PT,1528903800,72,33.08,-16.33,68,16.11,6/13/18 3:30 PM
86,saint-philippe,1,CA,1528902900,54,45.36,-73.48,78.8,11.41,6/13/18 3:15 PM
87,port blair,92,IN,1528905357,97,11.67,92.75,84.37,25.1,6/13/18 3:55 PM
88,albany,90,US,1528903860,68,42.65,-73.75,69.8,3.36,6/13/18 3:31 PM
89,barrow,88,AR,1528905182,72,-38.31,-60.23,50.26,8.21,6/13/18 3:53 PM
90,qorveh,92,IR,1528905357,22,35.17,47.8,76.72,3.18,6/13/18 3:55 PM
91,san jeronimo,90,PE,1528902000,81,-13.65,-73.37,46.4,2.39,6/13/18 3:00 PM
92,mataura,24,NZ,1528905299,79,-46.19,168.86,25.69,3.18,6/13/18 3:54 PM
93,buala,64,SB,1528905359,100,-8.15,159.59,78.7,4.18,6/13/18 3:55 PM
94,eyl,20,SO,1528905359,57,7.98,49.82,86.62,22.41,6/13/18 3:55 PM
95,abu dhabi,0,AE,1528902000,29,24.47,54.37,98.6,16.11,6/13/18 3:00 PM
96,tahe,92,CN,1528905359,98,52.34,124.71,51.43,2.17,6/13/18 3:55 PM
97,chuy,80,UY,1528905099,93,-33.69,-53.46,52.87,28.9,6/13/18 3:51 PM
98,dzerzhinskoye,8,RU,1528905360,69,56.84,95.22,65.11,3.85,6/13/18 3:56 PM
99,vanavara,0,RU,1528905360,50,60.35,102.28,64.21,5.64,6/13/18 3:56 PM
100,muros,40,ES,1528903800,72,42.77,-9.06,66.2,10.29,6/13/18 3:30 PM
101,auchel,0,FR,1528903800,49,50.51,2.47,68,3.36,6/13/18 3:30 PM
102,bubaque,40,GW,1528902000,55,11.28,-15.83,91.4,11.41,6/13/18 3:00 PM
103,khatanga,8,RU,1528905361,65,71.98,102.47,60.97,4.63,6/13/18 3:56 PM
104,los banos,1,US,1528904100,67,37.06,-120.85,75.2,4.74,6/13/18 3:35 PM
105,labuhan,12,ID,1528905361,95,-2.54,115.51,72.94,1.83,6/13/18 3:56 PM
106,saint-paul,75,FR,1528903800,56,45.22,1.9,68,14.99,6/13/18 3:30 PM
107,petatlan,90,MX,1528901220,74,17.52,-101.27,84.2,1.83,6/13/18 2:47 PM
108,baykit,36,RU,1528905366,68,61.68,96.39,63.94,4.29,6/13/18 3:56 PM
109,dalby,75,AU,1528902000,93,-27.18,151.26,53.6,2.24,6/13/18 3:00 PM
110,yellowknife,90,CA,1528902540,93,62.45,-114.38,46.4,8.05,6/13/18 3:09 PM
111,hilo,75,US,1528901580,88,19.71,-155.08,66.2,5.82,6/13/18 2:53 PM
112,turukhansk,36,RU,1528905297,76,65.8,87.96,66.37,6.42,6/13/18 3:54 PM
113,dingle,68,PH,1528905368,82,11,122.67,79.96,8.21,6/13/18 3:56 PM
114,dillon,1,US,1528901580,44,45.22,-112.64,57.2,5.82,6/13/18 2:53 PM
115,labytnangi,64,RU,1528905370,75,66.66,66.39,47.11,17.49,6/13/18 3:56 PM
116,gigmoto,36,PH,1528905370,98,13.78,124.39,83.56,17.6,6/13/18 3:56 PM
117,nouakchott,68,MR,1528905371,76,18.08,-15.98,76.72,1.39,6/13/18 3:56 PM
118,rumoi,92,JP,1528905371,100,43.93,141.67,44.41,8.1,6/13/18 3:56 PM
119,dikson,32,RU,1528905373,100,73.51,80.55,31.09,13.13,6/13/18 3:56 PM
120,chinsali,0,ZM,1528905377,36,-10.55,32.07,73.39,9.22,6/13/18 3:56 PM
121,georgetown,75,GY,1528902000,78,6.8,-58.16,82.4,9.17,6/13/18 3:00 PM
122,tooele,1,US,1528902900,35,40.53,-112.3,73.4,9.17,6/13/18 3:15 PM
123,nikolskoye,40,RU,1528902000,41,59.7,30.79,60.8,4.47,6/13/18 3:00 PM
124,bodo,80,CI,1528905379,66,5.91,-4.68,87.7,8.21,6/13/18 3:56 PM
125,minador do negrao,32,BR,1528905379,80,-9.31,-36.86,76.81,13.24,6/13/18 3:56 PM
126,sambava,88,MG,1528905379,100,-14.27,50.17,77.35,19.73,6/13/18 3:56 PM
127,yerbogachen,0,RU,1528905380,44,61.28,108.01,64.93,7.43,6/13/18 3:56 PM
128,kahului,1,US,1528901760,93,20.89,-156.47,66.2,3.36,6/13/18 2:56 PM
129,clyde river,75,CA,1528902660,100,70.47,-68.59,35.6,21.92,6/13/18 3:11 PM
130,ancud,20,CL,1528905381,90,-41.87,-73.83,39.1,2.73,6/13/18 3:56 PM
131,beringovskiy,0,RU,1528905381,88,63.05,179.32,39.37,3.4,6/13/18 3:56 PM
132,majene,32,ID,1528905382,100,-3.54,118.97,81.85,11.01,6/13/18 3:56 PM
133,ahar,36,IR,1528905382,62,38.48,47.07,62.77,3.74,6/13/18 3:56 PM
134,ilhabela,80,BR,1528905382,98,-23.78,-45.36,72.85,2.28,6/13/18 3:56 PM
135,listvyagi,0,RU,1528905382,78,53.68,86.95,65.11,2.06,6/13/18 3:56 PM
136,skjervoy,40,NO,1528903200,65,70.03,20.97,44.6,10.29,6/13/18 3:20 PM
137,cape town,0,ZA,1528902000,35,-33.93,18.42,73.4,9.17,6/13/18 3:00 PM
138,iqaluit,90,CA,1528902000,96,63.75,-68.52,35.6,20.8,6/13/18 3:00 PM
139,fort-shevchenko,0,KZ,1528905387,59,44.51,50.26,74.2,3.62,6/13/18 3:56 PM
140,severo-kurilsk,92,RU,1528905387,100,50.68,156.12,38.02,16.26,6/13/18 3:56 PM
141,arraial do cabo,0,BR,1528905600,65,-22.97,-42.02,80.6,4.7,6/13/18 4:00 PM
142,torbay,90,CA,1528903560,93,47.66,-52.73,50,19.46,6/13/18 3:26 PM
143,ahipara,88,NZ,1528905388,91,-35.17,173.16,56.65,9.66,6/13/18 3:56 PM
144,bandarbeyla,0,SO,1528905389,79,9.49,50.81,79.15,32.93,6/13/18 3:56 PM
145,vuktyl,92,RU,1528905389,96,63.86,57.31,52.6,7.43,6/13/18 3:56 PM
146,caravelas,0,BR,1528905390,98,-17.73,-39.27,77.62,10.45,6/13/18 3:56 PM
147,waipawa,92,NZ,1528905390,94,-39.94,176.59,50.89,9.44,6/13/18 3:56 PM
148,khomutovo,0,RU,1528905390,65,52.85,37.45,72.31,5.97,6/13/18 3:56 PM
149,acajutla,40,SV,1528901400,79,13.59,-89.83,84.2,1.12,6/13/18 2:50 PM
150,buritis,0,BR,1528905391,53,-15.62,-46.42,83.74,6.87,6/13/18 3:56 PM
151,meulaboh,48,ID,1528905392,100,4.14,96.13,82.03,3.4,6/13/18 3:56 PM
152,vaini,100,IN,1528905392,98,15.34,74.49,70.42,4.29,6/13/18 3:56 PM
153,teya,75,MX,1528901400,66,21.05,-89.07,86,13.87,6/13/18 2:50 PM
154,bambous virieux,75,MU,1528902000,69,-20.34,57.76,75.2,14.99,6/13/18 3:00 PM
155,zaragoza,20,ES,1528903800,49,41.65,-0.88,77,28.86,6/13/18 3:30 PM
156,thompson,75,CA,1528902600,76,55.74,-97.86,57.2,3.36,6/13/18 3:10 PM
157,kodiak,1,US,1528901580,50,39.95,-94.76,75.2,13.87,6/13/18 2:53 PM
158,nsanje,92,MZ,1528905397,84,-16.92,35.26,70.33,4.18,6/13/18 3:56 PM
