Cluster,O,C,E,A,N
0,7.4350203885823944,5.8777644519069305,4.19884864475894,7.176924922043665,7.9976972895178635
1,7.517295004712529,7.571960414703108,5.182469368520272,8.221442035815262,5.67502356267673
2,8.019072164948462,6.089905498281805,7.406185567010309,8.055068728522311,7.1468642611683775
3,7.850576422461862,6.38036444775009,5.009743399033108,5.7056898475269575,5.267683153588701
4,8.28401826484017,7.5424657534246515,7.914256722475891,8.577777777777742,4.351496702181645
