,O,C,E,A,N,Cluster
86,7.800000000000001,5.799999999999999,5.8,5.6,7.2,0
87,9.0,5.999999999999999,6.399999999999999,6.399999999999999,7.199999999999998,2
88,6.2,7.3999999999999995,7.3999999999999995,7.4,4.0,4
89,9.8,4.6,2.5999999999999996,9.200000000000001,5.600000000000001,1
90,6.6,7.599999999999999,5.2,8.399999999999999,5.600000000000001,1
91,10.0,6.199999999999999,7.0,10.0,7.799999999999999,2
92,7.6000000000000005,10.0,6.0,8.399999999999999,3.600000000000001,4
93,8.2,6.999999999999998,8.0,7.3999999999999995,4.0,4
94,7.199999999999999,6.0,6.199999999999999,6.4,2.8000000000000003,3
95,6.800000000000001,6.0,4.199999999999999,8.4,8.6,0
96,7.6,4.2,3.9999999999999996,6.199999999999999,5.800000000000001,3
97,9.6,5.3999999999999995,7.8,8.8,5.800000000000001,2
98,8.8,8.8,8.2,9.200000000000001,3.800000000000001,4
99,9.2,7.999999999999999,6.6,9.2,6.0,4
100,5.600000000000001,5.2,4.4,8.0,7.199999999999999,0
101,10.0,7.4,5.200000000000001,9.8,7.000000000000001,1
102,8.2,4.800000000000001,4.3999999999999995,8.6,8.6,0
103,7.4,7.999999999999999,2.1999999999999997,5.600000000000001,4.2,3
104,8.600000000000001,6.599999999999999,5.800000000000001,8.399999999999999,4.4,1
105,8.4,5.199999999999999,5.199999999999999,5.800000000000001,7.0,3
106,7.6000000000000005,6.6,6.0,8.2,4.6000000000000005,1
107,6.799999999999999,5.0,5.4,6.199999999999999,7.6,0
108,4.400000000000001,5.6000000000000005,3.200000000000001,5.4,7.3999999999999995,0
109,9.2,9.2,9.2,9.2,3.600000000000001,4
110,7.800000000000001,6.199999999999999,3.8,7.0,7.8,0
111,6.399999999999999,5.6,4.4,6.6000000000000005,5.4,3
112,8.399999999999999,5.4,9.600000000000001,10.0,4.0,4
113,8.600000000000001,4.6,8.8,8.2,6.800000000000001,2
