Cluster,O,C,E,A,N
0,8.290858303707454,7.535703402742503,7.920670391061444,8.577755205688131,4.355408836973093
1,7.4358101629913715,5.8814956855225295,4.1957334611697075,7.177756471716213,7.99544582933844
2,7.849907028635159,6.379769431015245,5.009371513573829,5.706284864261802,5.267311268129422
3,7.514003294892912,7.57655919039774,5.190303600847265,8.223817368792652,5.667168745587207
4,8.0171109200344,6.088220120378351,7.401504729148754,8.052665520206336,7.151590713671534
